,Input,Input,Input,Input,Input,Output
,u0,u1,u2,u3,u4,Rich temperature (K)
22,1.3626517812605454,1.3395054144925467,0.5734260637328908,0.8786709808272689,-2.635718150101025,-0.9775065344839022
46,-0.2443459589129899,-0.18237241743661625,-0.31066427864644375,-0.6559775296076888,-0.20499956597215038,-0.23448328507992314
25,0.5788764730900046,0.45289115081350995,0.08304282038478214,0.41554969050638707,-1.1403161172309935,-0.8136137475606309
39,-0.49982392733109005,-0.3118969263278639,-0.6956447827169281,0.2808015947931583,-0.25182391844810753,0.1944968907654748
43,-0.8196283484645788,0.05478353797743241,-0.30652928494593984,-2.751195039156772,-1.0134366000935469,0.9201620530434644
20,1.124739262981969,0.9579162311311116,-2.499181665509717,-0.3415446074896297,0.5683441055830586,-0.7476927925003408
48,0.13917563412140166,-0.3404763877126483,-0.3134209411134466,0.7408341434250294,0.3339584567754456,-0.5418157716664729
1,-1.6120331284902225,2.3189221612964017,0.47867052622802053,0.3522348622073037,1.132249655249148,2.402527939208896
49,0.3309364306385978,-0.4195283728506646,-0.3147992723469479,1.4392399799413897,0.6034374681492441,-0.6207213531644921
3,-1.2913009457356386,1.7882214237999547,0.31604429207942075,0.2885168447594601,0.9126410004362491,1.905415170414094
14,-0.7657056418069749,-0.9999946373633737,1.0127355211684865,0.2750056177113137,-0.24071783096644123,0.7512470684583051
12,-1.4072583425186516,-1.6644429914272116,2.2045607629840904,0.48424179333327333,-0.5152859334916512,1.0874799126055428
30,-0.46615726721850576,-0.7292611963254679,-0.5708015016274469,-0.2019453609391826,0.8535532524520395,0.15051320843310134
6,-0.32910441190482953,0.19611923519213895,-0.17183440304820077,0.09736279528323953,0.25381504587993814,-0.12511140296281487
41,-1.3943014572016834,-0.41284197383432686,-1.4628491283908946,0.7575481705621308,-0.8844306461476195,1.7392590291723693
35,1.2891311324100965,-0.11000683131493823,0.8387639086310041,-0.6726915567447869,1.013389536950916,-0.966879188526678
47,-0.05258516239579356,-0.2614244025746325,-0.3120426098799451,0.04242830690867204,0.06447944540164836,-0.4240848413927742
10,0.9538243046805646,-1.9266836909121254,-0.8223393323244225,-0.15750927164082493,-0.6246195634892727,-0.5354249899669149
13,-1.0857584740706743,-1.3314694754790595,1.6073040480927938,0.37938773713119406,-0.3776922350410897,1.0328734475302852
45,-0.43610675543018607,-0.10332043229860004,-0.3092859474129425,-1.3543833661240503,-0.47447857734594917,0.0730773622241756
36,0.8418923674747992,-0.16047935506816968,0.4551617357940212,-0.43431826886030045,0.6970861731011601,-0.8479314010925523
29,-0.20489882920222016,-0.43372310621591903,-0.40734041928545217,-0.047571596341085064,0.3550859044235228,-0.2505967554914965
18,0.500214231696921,0.3111032278521999,-1.3389890646438556,-0.13786184069383617,0.3010634088776823,-0.6636535948566588
31,-0.7274156993564758,-1.0247992797854086,-0.7342625802915668,-0.35631912206386984,1.3520205892650394,0.6322194247730103
5,-0.6498365874429413,0.7268199607478213,-0.009208172558690435,0.16108081129742788,0.47342369575164334,0.547502589798105
33,2.1836086622806903,-0.009061783808475605,1.6059682543049705,-1.1494381325137595,1.6459962646504278,-1.1703605218259252
28,-0.052586085291213974,-0.2614254465629225,-0.31204318730621106,0.04242776158335565,0.06448120623753258,-0.4240962494286462
15,-0.4470945837777913,-0.6700130273425784,0.42084540698219824,0.17109371893987868,-0.10436046928815673,0.16768800644928508
21,1.623910213398516,1.635043497952488,0.7368871423970109,1.0330447419519568,-3.1341854869140264,-1.0012120527730883
