kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
closed,gpr.v.a,240,2,2,1,0.005586,0.007755,0.010958,0.013091,0.015486,0.017451,0.019537,0.019537
closed,gpr.v.a,240,2,2,2,0.006978,0.008845,0.009819,0.012688,0.015125,0.014524,0.000000,0.000000
closed,gpr.v.a,240,3,0,0,0.006658,0.006914,0.006661,0.006060,0.004650,0.003232,0.000000,0.000000
closed,gpr.v.a,240,3,0,1,0.006727,0.008209,0.009510,0.011258,0.012597,0.013202,0.013565,0.013565
closed,gpr.v.a,240,3,0,2,0.006783,0.008279,0.009372,0.010800,0.011681,0.012627,0.013459,0.013459
closed,gpr.v.a,240,3,1,0,0.006679,0.008094,0.009328,0.011035,0.012367,0.012936,0.013270,0.013270
closed,gpr.v.a,240,3,1,1,0.006592,0.010358,0.011797,0.013008,0.010562,0.007328,0.000000,0.000000
closed,gpr.v.a,240,3,1,2,0.004656,0.006876,0.009258,0.012522,0.015027,0.016947,0.018144,0.018144
closed,gpr.v.a,240,3,2,0,0.006802,0.008419,0.009598,0.011087,0.012155,0.013146,0.014033,0.014033
closed,gpr.v.a,240,3,2,1,0.004714,0.006996,0.009332,0.012525,0.015036,0.017047,0.018458,0.018458
closed,gpr.v.a,240,3,2,2,0.006666,0.008571,0.009595,0.011704,0.014407,0.013988,0.000000,0.000000
closed,gpr.v.a,240,4,0,0,0.006031,0.006516,0.007193,0.005957,0.005052,0.003480,0.000000,0.000000
closed,gpr.v.a,240,4,0,1,0.006220,0.008136,0.010271,0.011042,0.011790,0.012503,0.012961,0.012961
closed,gpr.v.a,240,4,0,2,0.006412,0.008509,0.010586,0.011017,0.011397,0.012741,0.013349,0.013349
closed,gpr.v.a,240,4,1,0,0.006149,0.007951,0.009997,0.010707,0.011441,0.012087,0.012485,0.012485
closed,gpr.v.a,240,4,1,1,0.006725,0.010118,0.012524,0.011855,0.010111,0.007388,0.000000,0.000000
closed,gpr.v.a,240,4,1,2,0.004363,0.006690,0.010007,0.012087,0.014172,0.016190,0.017731,0.017731
closed,gpr.v.a,240,4,2,0,0.006451,0.008646,0.010827,0.011364,0.011924,0.013286,0.013977,0.013977
closed,gpr.v.a,240,4,2,1,0.004426,0.006819,0.010082,0.012089,0.014185,0.016318,0.018060,0.018060
closed,gpr.v.a,240,4,2,2,0.006118,0.008628,0.010733,0.011752,0.013494,0.013917,0.000000,0.000000
closed,gpr.v.a,300,5,0,0,0.004415,0.005040,0.005117,0.004337,0.003501,0.002438,0.000000,0.000000
closed,gpr.v.a,300,5,0,1,0.004294,0.006085,0.007818,0.008786,0.009860,0.010458,0.010679,0.010679
closed,gpr.v.a,300,5,0,2,0.004881,0.006617,0.007880,0.008671,0.009510,0.010564,0.011158,0.011158
closed,gpr.v.a,300,5,1,0,0.004228,0.005916,0.007572,0.008475,0.009538,0.010088,0.010259,0.010259
