kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
closed,gpr.v.a,240,3,0,0,0.248275,0.451871,0.607576,0.745449,0.854953,0.939159,1.000000,1.000000
closed,gpr.v.a,240,3,0,1,0.129155,0.232969,0.311755,0.380798,0.431920,0.479572,0.507433,0.507433
closed,gpr.v.a,240,3,0,2,-0.121153,-0.229938,-0.311082,-0.375710,-0.440251,-0.480593,-0.518600,-0.518600
closed,gpr.v.a,240,3,1,0,0.129155,0.232969,0.311755,0.380798,0.431920,0.479572,0.507433,0.507433
closed,gpr.v.a,240,3,1,1,0.082123,0.222257,0.388173,0.559888,0.715958,0.877559,1.000000,1.000000
closed,gpr.v.a,240,3,1,2,-0.061072,-0.096787,-0.091601,-0.037745,0.037697,0.168852,0.312258,0.312258
closed,gpr.v.a,240,3,2,0,-0.121153,-0.229938,-0.311082,-0.375710,-0.440251,-0.480593,-0.518600,-0.518600
closed,gpr.v.a,240,3,2,1,-0.061072,-0.096787,-0.091601,-0.037745,0.037697,0.168852,0.312258,0.312258
closed,gpr.v.a,240,3,2,2,0.059499,0.123026,0.184899,0.274599,0.411361,0.640856,1.000000,1.000000
closed,gpr.v.a,240,4,0,0,0.247858,0.447304,0.612937,0.748622,0.855491,0.939298,1.000000,1.000000
closed,gpr.v.a,240,4,0,1,0.125764,0.228832,0.312842,0.371299,0.429209,0.473006,0.506838,0.506838
closed,gpr.v.a,240,4,0,2,-0.120713,-0.224567,-0.312118,-0.387232,-0.447226,-0.489683,-0.525935,-0.525935
closed,gpr.v.a,240,4,1,0,0.125764,0.228832,0.312842,0.371299,0.429209,0.473006,0.506838,0.506838
closed,gpr.v.a,240,4,1,1,0.080851,0.211987,0.391158,0.550448,0.733938,0.877383,1.000000,1.000000
closed,gpr.v.a,240,4,1,2,-0.057958,-0.095742,-0.089664,-0.036247,0.049094,0.172269,0.308611,0.308611
closed,gpr.v.a,240,4,2,0,-0.120713,-0.224567,-0.312118,-0.387232,-0.447226,-0.489683,-0.525935,-0.525935
closed,gpr.v.a,240,4,2,1,-0.057958,-0.095742,-0.089664,-0.036247,0.049094,0.172269,0.308611,0.308611
closed,gpr.v.a,240,4,2,2,0.059541,0.117252,0.184259,0.285098,0.423804,0.654176,1.000000,1.000000
closed,gpr.v.a,300,5,0,0,0.247031,0.448641,0.616496,0.749965,0.857893,0.942112,1.000000,1.000000
closed,gpr.v.a,300,5,0,1,0.134066,0.240341,0.328760,0.396227,0.454947,0.501205,0.534261,0.534261
closed,gpr.v.a,300,5,0,2,-0.122983,-0.226372,-0.315377,-0.386311,-0.444673,-0.485605,-0.514470,-0.514470
closed,gpr.v.a,300,5,1,0,0.134066,0.240341,0.328760,0.396227,0.454947,0.501205,0.534261,0.534261
closed,gpr.v.a,300,5,1,1,0.090821,0.234644,0.410563,0.573766,0.740639,0.881723,1.000000,1.000000
closed,gpr.v.a,300,5,1,2,-0.064719,-0.099176,-0.095082,-0.053643,0.027974,0.146740,0.287114,0.287114
closed,gpr.v.a,300,5,2,0,-0.122983,-0.226372,-0.315377,-0.386311,-0.444673,-0.485605,-0.514470,-0.514470
closed,gpr.v.a,300,5,2,1,-0.064719,-0.099176,-0.095082,-0.053643,0.027974,0.146740,0.287114,0.287114
closed,gpr.v.a,300,5,2,2,0.061496,0.119802,0.189017,0.278302,0.418029,0.640963,1.000000,1.000000
total,gpr.v.a,240,0,0,0,0.251054,0.448827,0.618359,0.752290,0.856614,0.942673,1.000000,1.000000
total,gpr.v.a,240,0,0,1,0.139564,0.249350,0.344020,0.413573,0.474435,0.520406,0.552736,0.552736
total,gpr.v.a,240,0,0,2,-0.124372,-0.219681,-0.304315,-0.365218,-0.419667,-0.459077,-0.490426,-0.490426
total,gpr.v.a,240,0,1,0,0.139564,0.249350,0.344020,0.413573,0.474435,0.520406,0.552736,0.552736
total,gpr.v.a,240,0,1,1,0.400158,0.648960,0.806670,0.894556,0.949169,0.981259,1.000000,1.000000
total,gpr.v.a,240,0,1,2,0.088694,0.174295,0.241711,0.294083,0.308866,0.313646,0.298833,0.298833
total,gpr.v.a,240,0,2,0,-0.124372,-0.219681,-0.304315,-0.365218,-0.419667,-0.459077,-0.490426,-0.490426
total,gpr.v.a,240,0,2,1,0.088694,0.174295,0.241711,0.294083,0.308866,0.313646,0.298833,0.298833
total,gpr.v.a,240,0,2,2,0.164955,0.335320,0.517125,0.690979,0.842666,0.963378,1.000000,1.000000
total,gpr.v.a,240,1,0,0,0.257652,0.458077,0.618068,0.748779,0.854179,0.942974,1.000000,1.000000
total,gpr.v.a,240,1,0,1,0.142232,0.253001,0.340691,0.404953,0.460900,0.511538,0.546363,0.546363
total,gpr.v.a,240,1,0,2,-0.121616,-0.225338,-0.312870,-0.387250,-0.444718,-0.473863,-0.503714,-0.503714
total,gpr.v.a,240,1,1,0,0.142232,0.253001,0.340691,0.404953,0.460900,0.511538,0.546363,0.546363
total,gpr.v.a,240,1,1,1,0.422304,0.663621,0.815943,0.895200,0.944148,0.978088,1.000000,1.000000
total,gpr.v.a,240,1,1,2,0.105367,0.179545,0.240043,0.280830,0.297425,0.301738,0.285507,0.285507
total,gpr.v.a,240,1,2,0,-0.121616,-0.225338,-0.312870,-0.387250,-0.444718,-0.473863,-0.503714,-0.503714
total,gpr.v.a,240,1,2,1,0.105367,0.179545,0.240043,0.280830,0.297425,0.301738,0.285507,0.285507
total,gpr.v.a,240,1,2,2,0.170457,0.346490,0.523063,0.707455,0.862880,0.969792,1.000000,1.000000
total,gpr.v.a,240,2,0,0,0.243369,0.447049,0.618367,0.745734,0.857558,0.938255,1.000000,1.000000
total,gpr.v.a,240,2,0,1,0.137135,0.245927,0.342078,0.403798,0.464150,0.507879,0.541587,0.541587
total,gpr.v.a,240,2,0,2,-0.127152,-0.231632,-0.312348,-0.389173,-0.451427,-0.486839,-0.514687,-0.514687
total,gpr.v.a,240,2,1,0,0.137135,0.245927,0.342078,0.403798,0.464150,0.507879,0.541587,0.541587
